식당명,주소1,주소2,위도,경도,행정동
의리짬뽕 시지점,대구 수성구 달구벌대로641길 20,(지번) 매호동 1079-2,35.84185353,128.7083529,고산3동
독일미양꼬치 시지3호점,대구 수성구 달구벌대로637길 22-1,(지번) 매호동 1088-4,35.84236048,128.707524,고산3동
미성각,대구 수성구 달구벌대로627길 14-25 1층,(지번) 매호동 1337-10,35.84231733,128.7028759,고산3동
국민반점,대구 수성구 천을로 119,(지번) 매호동 1323-8,35.84426984,128.7036363,고산3동
신마라탕,대구 수성구 달구벌대로641길 27 다동 101호,(지번) 매호동 1082-1,35.84263672,128.7081298,고산3동
천리향반점,대구 수성구 고산로 123,(지번) 매호동 1331,35.84353925,128.705253,고산3동
천리향,대구 수성구 천을로 180,(지번) 매호동 1040,35.8417803,128.7102443,고산3동
상하이,대구 수성구 달구벌대로627길 22-22,(지번) 매호동 1337-3,35.84251759,128.702677,고산3동
팔선생,대구 수성구 범어천로 170-1,(지번) 범어동 2201,35.86202068,128.622755,범어3동
만솥,대구 수성구 동대구로 237,(지번) 범어동 736,35.85157283,128.6244102,범어1동
마라신 범어본점,대구 수성구 동대구로59길 12 1층,(지번) 범어동 790-3,35.85732576,128.6243469,범어1동
라쿵푸마라탕 범어점,대구 수성구 달구벌대로492길 42,(지번) 범어동 255-10,35.8569912,128.6346741,범어4동
짬뽕지존,대구 수성구 상록로 5,(지번) 범어동 557,35.85997005,128.6237285,범어3동
신천시장 깐탕,대구 수성구 들안로78길 14,(지번) 범어동 1003-37,35.86486297,128.6189422,범어3동
미미짬뽕 수성점,대구 수성구 범어천로 54,(지번) 범어동 730-1,35.851652,128.6239467,범어1동
깐탕,대구 수성구 범어로19길 2,(지번) 범어동 199-19,35.85798983,128.6355886,범어4동
미미관마라탕 범어점,대구 수성구 달구벌대로504길 7,(지번) 범어동 211,35.85801112,128.6383509,범어4동
상해관,대구 수성구 상록로 24,(지번) 범어동 27-13,35.86153924,128.6241792,범어3동
손이가수타손짜장,대구 수성구 상록로 62,(지번) 범어동 7-19,35.86502654,128.6242677,범어3동
장안성,대구 수성구 범어로20길 38,(지번) 범어동 210-15,35.85783341,128.637843,범어4동
소림마라 대구수성점,대구 수성구 명덕로 472,(지번) 범어동 806-1,35.85377227,128.6216072,범어1동
링링양꼬치,대구 수성구 상록로 46-1,(지번) 범어동 26-7,35.86352356,128.6242914,범어3동
중화가정 신천시장점,대구 수성구 들안로78길 21 1층,(지번) 범어동 1440,35.86523551,128.6191487,범어3동
웃어라짬뽕,대구 수성구 세진로 3,(지번) 범어동 393-3,35.8622362,128.6360967,범어2동
호호짬뽕,대구 수성구 범어로 87,(지번) 범어동 204-8,35.85723406,128.6356602,범어4동
빨간짬뽕,대구 수성구 범어로19길 59,(지번) 범어동 201-3,35.85777656,128.6324131,범어4동
우당탕반점,대구 수성구 범어로19길 25,(지번) 범어동 203-4,35.857791,128.6343141,범어4동
귀래원,대구 수성구 동대구로 359-8 1층,(지번) 범어동 32-2,35.86259157,128.626099,범어3동
대구짬뽕 0304 범어점,대구 수성구 달구벌대로 2435 두산위브더제니스 301동 지하1층 B103-9호,(지번) 범어동 179,35.86098925,128.628268,범어2동
홍백림짬뽕,대구 수성구 상록로 62 1층,(지번) 범어동 7-19,35.86502654,128.6242677,범어3동
장미반점,대구 수성구 달구벌대로 2494,(지번) 범어동 198-6,35.85850388,128.6355194,범어4동
계림,대구 수성구 달구벌대로480길 21 2층,(지번) 범어동 547-3,35.85843295,128.6240369,범어1동
현풍반점,대구 수성구 달구벌대로512길 8,(지번) 범어동 218-9,35.85803803,128.6426754,범어4동
초류향,대구 수성구 동대구로73길 10-11,(지번) 범어동 17-2,35.86372223,128.625879,범어3동
만다복,대구 수성구 동대구로 336,(지번) 범어동 177-3,35.8603881,128.62737,범어2동
행복한마라탕 수성점,대구 수성구 달구벌대로480길 40 1층,(지번) 범어동 560-9,35.8587866,128.6229606,범어1동
양자강,대구 수성구 범어로20길 63,(지번) 범어동 211-16,35.85799819,128.6393717,범어4동
청춘식당,대구 수성구 달구벌대로480길 5,(지번) 범어동 562-1,35.85851813,128.6248547,범어1동
상해짬뽕 범어점,대구 수성구 상록로2길 8,(지번) 범어동 40-18,35.86041046,128.6245264,범어3동
짱서방,대구 수성구 국채보상로192길 37,(지번) 범어동 428-10,35.86610169,128.6361583,범어2동
낙원반점,대구 수성구 범어로 158,(지번) 범어동 395-6,35.86347967,128.6357269,범어2동
홍짬뽕,대구 수성구 상록로 62,(지번) 범어동 7-19,35.86502654,128.6242677,범어3동
미시엘로2,대구 수성구 달구벌대로480길 40,(지번) 범어동 560-9,35.8587866,128.6229606,범어1동
삼화루반점,대구 수성구 범어로19길 25,(지번) 범어동 203-4,35.857791,128.6343141,범어4동
걸신맛집,대구 수성구 동대구로 359-8,(지번) 범어동 32-2,35.86259157,128.626099,범어3동
만선향,대구 수성구 들안로 23,(지번) 상동 402-2,35.83199159,128.6162538,상동
해성각,대구 수성구 상화로 62,(지번) 상동 314-6,35.83475313,128.6137814,상동
상동반점,대구 수성구 수성로19길 23,(지번) 상동 254-2,35.83374116,128.6100256,상동
연지,대구 수성구 수성로19길 59,(지번) 상동 214-2,35.83354419,128.6081469,상동
림천,대구 수성구 달구벌대로458길 24,(지번) 수성동1가 82-1,35.85865741,128.6124859,수성1가동
마라궁 수성점,대구 수성구 달구벌대로456길 8,(지번) 수성동1가 91-2,35.85962178,128.6111724,수성1가동
영남루,대구 수성구 명덕로 390,(지번) 수성동1가 273-11,35.85437232,128.612632,수성1가동
손군반점,대구 수성구 수성로51길 50-1,(지번) 수성동1가 652,35.84925451,128.6102231,수성1가동
행운중화포차,대구 수성구 수성로53길 20,(지번) 수성동1가 489,35.85004846,128.6119205,수성1가동
화중,대구 수성구 수성로 332,(지번) 수성동2가 256,35.85505048,128.6140242,수성2.3가동
짜장집을 찾아서,대구 수성구 수성로 294,(지번) 수성동2가 294-1,35.85164006,128.6136248,수성2.3가동
황금용,대구 수성구 수성로 308,(지번) 수성동2가 273-6,35.85308462,128.6137033,수성2.3가동
승리원,대구 수성구 명덕로 421,(지번) 수성동2가 60-1,35.85464014,128.6163269,수성2.3가동
이박사중국집,대구 수성구 수성로72길 10,(지번) 수성동2가 240-1,35.85613025,128.614472,수성2.3가동
옥성루,대구 수성구 명덕로 456-1,(지번) 수성동3가 197-3,35.85361571,128.6200132,수성2.3가동
짜장과짬뽕사이,대구 수성구 들안로48길 22,(지번) 수성동3가 381-2,35.85135798,128.6181357,수성2.3가동
청해진,대구 수성구 들안로48길 22,(지번) 수성동3가 381-2,35.85135798,128.6181357,수성2.3가동
양가,대구 수성구 들안로 368-1,(지번) 수성동4가 1014-15,35.86293745,128.6181565,수성4가동
중화포차 신천점,대구 수성구 들안로 347-1,(지번) 수성동4가 1023-1,35.86119396,128.6174177,수성4가동
만리장성 수성점,대구 수성구 수성로 393 동아마트 1층,(지번) 수성동4가 1090-8,35.86116149,128.6132923,수성4가동
덕영반점,대구 수성구 달구벌대로 2319-2,(지번) 수성동4가 1085-39,35.86008181,128.6165251,수성4가동
대림반점,대구 수성구 신천동로84길 36-4,(지번) 수성동4가 1214,35.86083355,128.6119173,수성4가동
부창반점,대구 수성구 들안로67길 30,(지번) 수성동4가 1028-36,35.86116103,128.6168115,수성4가동
마라퀵,대구 수성구 들안로73길 50-26,(지번) 수성동4가 1119-51,35.86440165,128.6158522,수성4가동
영남반점,대구 수성구 신천동로84길 14,(지번) 수성동4가 1227-32,35.86145134,128.6107918,수성4가동
쟈스민,대구 수성구 범어천로 203 2층,(지번) 수성동4가 1011-23,35.86330288,128.619506,수성4가동
중화루,대구 수성구 신천동로96길 21,(지번) 수성동4가 1150-8,35.86579835,128.6155224,수성4가동
중국성,대구 수성구 신천동로96길 43,(지번) 수성동4가 1123-24,35.86499008,128.6160139,수성4가동
고수짬뽕,대구 수성구 수성로 393 동아마트 내,(지번) 수성동4가 1090-8,35.86116149,128.6132923,수성4가동
라원신짬뽕 수성점,대구 수성구 범어천로 211,(지번) 수성동4가 1012-15,35.86374941,128.618636,수성4가동
중화루,대구 수성구 들안로73길 7,(지번) 수성동4가 1024-35,35.86348214,128.617438,수성4가동
홍연,대구 수성구 달구벌대로650길 51 1층,(지번) 신매동 128-1,35.83412387,128.7094699,고산1동
등원,대구 수성구 달구벌대로 3300-1,(지번) 신매동 10-12,35.83627676,128.7165424,고산1동
미담양꼬치,대구 수성구 달구벌대로650길 48,(지번) 신매동 584-14,35.83440986,128.7092311,고산1동
천안문,대구 수성구 달구벌대로650길 43,(지번) 신매동 132-1,35.83470526,128.7096549,고산1동
미미관마라탕 시지점,대구 수성구 달구벌대로650길 64,(지번) 신매동 589,35.83306359,128.7087288,고산1동
신신반점,대구 수성구 달구벌대로645길 16,(지번) 신매동 271,35.84029472,128.7104517,고산3동
라쿵푸 마라탕샹궈 시지23호점,대구 수성구 고산로18길 9 1층,(지번) 신매동 567-4,35.83919623,128.7054703,고산1동
상해,대구 수성구 달구벌대로650길 10 1층,(지번) 신매동 575-3,35.83747366,128.7105578,고산1동
오복짬뽕,대구 수성구 달구벌대로649길 22-5,(지번) 신매동 246-11,35.8398619,128.713298,고산3동
아리신바바훠궈,대구 수성구 신매로19길 56,(지번) 신매동 567-42,35.83959897,128.7066358,고산1동
차이나,대구 수성구 달구벌대로649길 6 1층,(지번) 신매동 260-3,35.83871388,128.711855,고산3동
용궁,대구 수성구 고산로4길 84,(지번) 신매동 606-6,35.83065698,128.7060117,고산1동
리얼안심탕수육&리얼하노이 신매점,대구 수성구 신매로16길 16-1 1층,(지번) 신매동 576-14,35.83717726,128.7095585,고산1동
라쿵푸마라탕,대구 수성구 신매로 7,(지번) 신매동 603-10,35.83034724,128.7065592,고산1동
연경,대구 수성구 달구벌대로650길 10,(지번) 신매동 575-3,35.83747366,128.7105578,고산1동
탕화쿵푸마라탕,대구 수성구 신매로19길 30,(지번) 신매동 567-19,35.83916572,128.7081756,고산1동
연경반점,대구 수성구 수성로 222,(지번) 중동 98-4,35.84519821,128.6131371,중동
대아짬뽕전문점,대구 수성구 수성로 184-7,(지번) 중동 177-4,35.84200347,128.6130096,중동
읍내반점,대구 수성구 청수로 5,(지번) 중동 568-7,35.84130317,128.6088651,중동
제일반점,대구 수성구 수성로41길 23 1층,(지번) 중동 345,35.84447069,128.6110979,중동
회성각 중동직영점,대구 수성구 수성로 198 1층,(지번) 중동 104-2,35.84310514,128.6128137,중동
쭌야끼우동,대구 수성구 수성로50길 12,(지번) 중동 46,35.8475242,128.6136772,중동
