식당명,주소1,주소2,위도,경도,행정동
국수사,대구 수성구 세진로 37 1층,(지번) 범어동 407-17,35.86262917,128.6394089,범어2동
기소야 범어점,대구 수성구 상록로2길 77 1층,(지번) 범어동 29-1,35.86274694,128.6250658,범어3동
1993범어,대구 수성구 동대구로59길 14-8 2층,(지번) 범어동 792-4,35.85802085,128.6241178,범어1동
도마29 수성점,대구 수성구 범어로16길 6-7,(지번) 범어동 271-17,35.8554383,128.6360483,범어4동
나눈진라멘,대구 수성구 범어로 92 1층,(지번) 범어동 209-17,35.8575689,128.6358935,범어4동
다미가,대구 수성구 동대구로73길 5 삼일아파트 나동 102호,(지번) 범어동 31-1,35.86304268,128.6259322,범어3동
돈까스짱 범어동점,대구 수성구 범어천로 214 1층 116,(지번) 범어동 2262,35.86416414,128.6192154,범어3동
긴자료코 대구범어점,대구 수성구 달구벌대로492길 40 1층,(지번) 범어동 255-11,35.85700713,128.6345433,범어4동
스시앤가츠,대구 수성구 범어로19길 2,(지번) 범어동 199-19,35.85798983,128.6355886,범어4동
연어참치연구소,대구 수성구 청솔로14길 15 범어에일린의뜰 상가동 지하1층 B102호,(지번) 범어동 2272,35.85160882,128.622254,범어1동
뜨돈 대구범어점,대구 수성구 범어로20길 52,(지번) 범어동 214-7,35.85782106,128.6386491,범어4동
아현카츠,대구 수성구 달구벌대로492길 41 1층,(지번) 범어동 203-14,35.85721075,128.634791,범어4동
코레와카레 수성점,대구 수성구 달구벌대로 2540-2 1층,(지번) 범어동 217-17,35.858237,128.6405988,범어4동
삼생맛수제생돈까스,대구 수성구 범어로19길 2 1,(지번) 범어동 199-19,35.8580034,128.635589,범어4동
목이참치,대구 수성구 상록로 6,(지번) 범어동 41-10,35.85987731,128.624249,범어3동
범어초밥,대구 수성구 달구벌대로480길 40,(지번) 범어동 560-8,35.8587866,128.6229606,범어1동
위대한스시,대구 수성구 달구벌대로 2516,(지번) 범어동 206-5,35.85851634,128.6377866,범어4동
두남자돈까스,대구 수성구 범어로20길 93 1층,(지번) 범어동 218-7,35.85801282,128.6408472,범어4동
동해횟집,대구 수성구 달구벌대로512길 9-1,(지번) 범어동 63-111,35.85775579,128.6429128,범어4동
스시헤이,대구 수성구 달구벌대로 2522 1층,(지번) 범어동 211-2,35.85856931,128.6386462,범어4동
엘튜나박스 범어점,대구 수성구 달구벌대로496길 19,(지번) 범어동 249-12,35.8569865,128.6342181,범어4동
가츠라 MBC점,대구 수성구 동대구로80길 14 다시티빌딩 1층,(지번) 범어동 47-5,35.86562031,128.6281336,범어2동
만타스시 31 범어점,대구 수성구 상록로 15 범어센트럴푸르지오 판매시설동 1층 162호,(지번) 범어동 2257,35.86111989,128.6230363,범어3동
쿠루,대구 수성구 들안로77길 2-12,(지번) 범어동 1324,35.86504021,128.6178262,범어3동
밈스시,대구 수성구 동대구로 386,(지번) 범어동 45-5,35.86487514,128.6275362,범어2동
호레보레,대구 수성구 범어로 120 1층,(지번) 범어동 225-7,35.86016066,128.6358812,범어2동
한바다참치,대구 수성구 달구벌대로 2533,(지번) 범어동 221-21,35.85932136,128.6398186,범어2동
킨스시,대구 수성구 동대구로73길 31,(지번) 범어동 28-8,35.86302781,128.6247338,범어3동
스시드새우포차,대구 수성구 범어로24길 6,(지번) 범어동 224-2,35.85961937,128.6360376,범어2동
에이원,대구 수성구 동대구로59길 14-14,(지번) 범어동 547-34,35.85823664,128.6240664,범어1동
돈까스먹고냉면먹고,대구 수성구 동대구로 376 범어숲1번가 로비 116호,(지번) 범어동 2237,35.86452885,128.6277612,범어2동
소담식당,대구 수성구 동대구로 376 범어숲 화성파크드림S 범어1번가 지하1층 L115호,(지번) 범어동 2237,35.86452885,128.6277612,범어2동
도나리,대구 수성구 달구벌대로 2435 두산위브더제니스상가 지하2층,(지번) 범어동 179,35.86098925,128.628268,범어2동
강구횟집,대구 수성구 범어로19길 26,(지번) 범어동 199-27,35.85796168,128.6343466,범어4동
뜨돈,대구 수성구 달구벌대로 2420,(지번) 범어동 190-9,35.85843404,128.6272127,범어1동
