식당명,주소1,주소2,위도,경도,행정동
봉수아피자 시지점,대구 수성구 천을로23길 31 109동 104호,(지번) 매호동 750,35.84645857,128.7051821,고산3동
아이원피자 시지점,대구 수성구 달구벌대로627길 22-6,(지번) 매호동 1338-3,35.84274856,128.7016772,고산3동
퍼플피자 시지점,대구 수성구 천을로 181 시지2차매호협화타운 112동 1층 101호,(지번) 매호동 1055,35.84325675,128.7100832,고산3동
마르제,대구 수성구 천을로31길 15,(지번) 매호동 932,35.84489465,128.7083919,고산3동
다비고 지산범물현식점,대구 수성구 지범로 188 청구리빙월드 2층 204호,(지번) 범물동 1334,35.82080178,128.6395179,범물2동
프랭크버거 대구지산범물점,대구 수성구 용학로 294 1층,(지번) 범물동 1271-2,35.82155801,128.6405681,범물1동
가창송하피자,대구 수성구 지범로 271 1층,(지번) 범물동 1322,35.81627186,128.6464031,범물1동
피자나라치킨공주 대구지산범물점,대구 수성구 범안로3길 23,(지번) 범물동 1350-2,35.81825708,128.6390985,범물2동
7번가피자 지산범물점,대구 수성구 지범로 209 1층,(지번) 범물동 1275-10,35.82015199,128.6417732,범물1동
타임리치,대구 수성구 범안로 80,(지번) 범물동 1292,35.81799218,128.6465781,범물1동
핏짜보르도 범물점,대구 수성구 지범로 290 119동 1층 101호,(지번) 범물동 670,35.81519666,128.6478925,범물2동
엔맥스 (n.max),대구 수성구 범안로3안길 33-2,(지번) 범물동 1343-20,35.818341,128.6379996,범물2동
커피마메,대구 수성구 범안로 11,(지번) 범물동 1352,35.81752364,128.6385372,범물2동
에이미하우스,대구 수성구 지범로 271 1층,(지번) 범물동 1311-4,35.81627186,128.6464031,범물1동
엉클조,대구 수성구 지범로 281,(지번) 범물동 1308-12,35.81586113,128.6475,범물1동
오스테리아밀즈,대구 수성구 동원로1길 26,(지번) 범어동 231-9,35.85983916,128.6386421,범어2동
아트리움,대구 수성구 국채보상로186길 151,(지번) 범어동 143-19,35.86153443,128.6339419,범어2동
다이닝슬로우라이프,대구 수성구 상록로2길 45,(지번) 범어동 29-18,35.86157833,128.6251463,범어3동
쁘띠따블 범어본점,대구 수성구 범어천로 90,(지번) 범어동 782-2,35.85670253,128.6229937,범어1동
빌라그린 범어점,대구 수성구 달구벌대로492길 19,(지번) 범어동 202-11,35.85724391,128.632326,범어4동
다이닝한재여관,대구 수성구 동대구로59길 10-15,(지번) 범어동 791-1,35.85797407,128.6244317,범어1동
바우만스테이크하우스,대구 수성구 동대구로 397 웰스빌딩 2층,(지번) 범어동 2-3,35.86577723,128.6263156,범어3동
인비노,대구 수성구 국채보상로186길 81,(지번) 범어동 136-9,35.86469187,128.6341786,범어2동
LK뉴욕바닷가재 대구본점,대구 수성구 상록로 12,(지번) 범어동 40-1,35.86036623,128.6241723,범어3동
