식당명,주소1,주소2,위도,경도,행정동,,
소선생갈비찜&갈비탕 만촌점,대구 수성구 국채보상로 963,(지번) 만촌동 422-31,35.86747333,128.6359515,만촌1동,,
아미구이,대구 수성구 국채보상로 1042,(지번) 만촌동 970-4,35.86650124,128.6441637,만촌2동,,
만남구이,대구 수성구 국채보상로 1054,(지번) 만촌동 972-11,35.86723561,128.645241,만촌2동,,
송죽한방보쌈,대구 수성구 국채보상로 1073-1,(지번) 만촌동 685-58,35.8688017,128.6463779,만촌1동,,
진뚝닭 대구만촌점,대구 수성구 만촌로 112 1층,(지번) 만촌동 658-27,35.86861628,128.6419324,만촌1동,,
오븐에빠진막창 대구동구점,대구 수성구 국채보상로 927,(지번) 만촌동 419-24,35.86724433,128.6320321,만촌1동,,
돈막창,대구 수성구 만촌로 49-2,(지번) 만촌동 1009-43,35.86335171,128.6440038,만촌2동,,
남가명가주먹구이 남부축산,대구 수성구 만촌로 52,(지번) 만촌동 1008,35.86354187,128.64443,만촌2동,,
왕갈비냉면,대구 수성구 달구벌대로530길 6,(지번) 만촌동 854-38,35.85544953,128.6515917,만촌3동,,
미진생고기,대구 수성구 공경로 32,(지번) 만촌동 674-3,35.87068795,128.6449446,만촌1동,,
통큰오리,대구 수성구 달구벌대로 2634,(지번) 만촌동 853-2,35.85644232,128.6500703,만촌3동,,
돌판구이,대구 수성구 무열로 15,(지번) 만촌동 997-4,35.86057325,128.6465153,만촌2동,,
오리목장,대구 수성구 무열로8길 10-5,(지번) 만촌동 694-1,35.86126795,128.6495816,만촌2동,,
달구벌숯불생삼겹막창,대구 수성구 만촌로 146,(지번) 만촌동 427-21,35.87147021,128.641033,만촌1동,,
꾼참숯생막창 꾼생막창직영점,대구 수성구 공경로 32,(지번) 만촌동 674-3,35.87068795,128.6449446,만촌1동,,
돼지드림,대구 수성구 동원로2길 16,(지번) 만촌동 1033-5,35.85979563,128.6413356,만촌2동,,
갈생,대구 수성구 만촌로 112,(지번) 만촌동 658-27,35.86861628,128.6419324,만촌1동,,
하늘정원,대구 수성구 고산로 264,(지번) 매호동 309,35.85381473,128.7095838,고산3동,,
우가생고기,대구 수성구 달구벌대로641길 17-4 B동 109~110호,(지번) 매호동 1085-9,35.84180464,128.7075766,고산3동,,
무진장,대구 수성구 달구벌대로627길 14-24,(지번) 매호동 1343-3,35.84216243,128.7025641,고산3동,,
풍산갈비,대구 수성구 달구벌대로 3171-1 1층,(지번) 매호동 1344-2,35.84150996,128.7041504,고산3동,,
눈꽃을나누다 시지점,대구 수성구 달구벌대로627길 6-9 1층,(지번) 매호동 1342-9,35.84217794,128.7017495,고산3동,,
하나실비막창,대구 수성구 달구벌대로627길 13,(지번) 매호동 1341-7,35.84256926,128.7008869,고산3동,,
김해본가뒷고기,대구 수성구 고산로 121-9,(지번) 매호동 1344-13,35.84168446,128.7044648,고산3동,,
큰집막창,대구 수성구 고산로 121-7,(지번) 매호동 1344-14,35.84166991,128.7046138,고산3동,,
봉대박찜닭,대구 수성구 고산로 123,(지번) 매호동 1331,35.84353925,128.705253,고산3동,,
육회한생고기,대구 수성구 달구벌대로637길 12-2,(지번) 매호동 1092-4,35.84177025,128.7068574,고산3동,,
대석대구찜닭 시지점,대구 수성구 고산로 121-9 1층,(지번) 매호동 1344-13,35.84168446,128.7044648,고산3동,,
소선생갈비찜&갈비탕,대구 수성구 달구벌대로641길 17-3,(지번) 매호동 1085-10,35.84165467,128.7078821,고산3동,,
김충기꽃삼겹 대구시지점,대구 수성구 달구벌대로641길 17-3 1층,(지번) 매호동 1085-10,35.84165467,128.7078821,고산3동,,
우리참한우,대구 수성구 달구벌대로641길 17-2,(지번) 매호동 1085-6,35.84190601,128.7076849,고산3동,,
장군찜닭 시지점,대구 수성구 달구벌대로627길 13-5,(지번) 매호동 1341-4,35.84264844,128.7005071,고산3동,,
원찜닭,대구 수성구 천을로 181,(지번) 매호동 1055,35.84325675,128.7100832,고산3동,,
옛고을양푼이찜닭,대구 수성구 달구벌대로627길 22-2,(지번) 매호동 1338-1,35.84281654,128.7013825,고산3동,,
통큰닭발,대구 수성구 달구벌대로637길 22-1,(지번) 매호동 1088-4,35.84236048,128.707524,고산3동,,
서울왕족발시지점,대구 수성구 달구벌대로631길 11,(지번) 매호동 1336-8,35.84258948,128.7032694,고산3동,,
똥집의달인 시지본점,대구 수성구 달구벌대로627길 22-11,(지번) 매호동 1335-7,35.84284905,128.7021348,고산3동,,
북성로불고기&냄비우동,대구 수성구 고산로 121,(지번) 매호동 1344-19,35.84151023,128.704957,고산3동,,
3大만족 본점,대구 수성구 천을로 181 113동 102호,(지번) 매호동 1055,35.84325675,128.7100832,고산3동,,
테트리스찜닭 시지점,대구 수성구 달구벌대로641길 23,(지번) 매호동 1082-9,35.84236298,128.7080648,고산3동,,
오븐에빠진막창 시지점,대구 수성구 달구벌대로627길 14-6,(지번) 매호동 1342-3,35.84240363,128.7015676,고산3동,,
3대만족 시지본점,대구 수성구 천을로 181,(지번) 매호동 1055,35.84325675,128.7100832,고산3동,,
계선안동찜닭,대구 수성구 달구벌대로627길 21-9,(지번) 매호동 1339-2,35.8430366,128.7003446,고산3동,,
오빠야찜닭 시지점,대구 수성구 달구벌대로627길 22-24,(지번) 매호동 1337-4,35.84248215,128.7027993,고산3동,,
용계찜닭,대구 수성구 달구벌대로627길 14-23,(지번) 매호동 1337-11,35.84234558,128.702758,고산3동,,
불이나닭,대구 수성구 달구벌대로627길 13,(지번) 매호동 1341-7,35.84256926,128.7008869,고산3동,,
철수와영희꼼닭발,대구 수성구 달구벌대로627길 14-28,(지번) 매호동 1343-5,35.84209699,128.7028193,고산3동,,
이가안동찜닭,대구 수성구 천을로31길 7-9,(지번) 매호동 1327-3,35.84412943,128.7074269,고산3동,,
히로미찌찜닭 시지점,대구 수성구 달구벌대로627길 62 1층,(지번) 매호동 1336-5,35.84279212,128.7030547,고산3동,,
덤&덤찜닭 시지점,대구 수성구 달구벌대로627길 62,(지번) 매호동 1336-5,35.84279212,128.7030547,고산3동,,
달우찜닭 시지점,대구 수성구 달구벌대로627길 14-23 1층,(지번) 매호동 1337-11,35.84234558,128.702758,고산3동,,
명품찜닭명계 시지점,대구 수성구 천을로31길 3-15,(지번) 매호동 1328-1,35.8438703,128.7069805,고산3동,,
남경고기마트,대구 수성구 달구벌대로 3181,(지번) 매호동 1344-22,35.84124935,128.704868,고산3동,,
황진사삶은고기,대구 수성구 달구벌대로627길 21-5,(지번) 매호동 1339-4,35.84301442,128.7006002,고산3동,,
시지한우고기마트,대구 수성구 달구벌대로645길 15,(지번) 매호동 1040-6,35.84079888,128.7099405,고산3동,,
청년고기마트 신매점,대구 수성구 달구벌대로645길 15,(지번) 매호동 1040-6,35.84079888,128.7099405,고산3동,,
진미정생고기,대구 수성구 천을로31길 8,(지번) 매호동 997-2,35.84412814,128.7085444,고산3동,,
양마니고기찌개,대구 수성구 달구벌대로627길 14-23,(지번) 매호동 1337,35.84234558,128.702758,고산3동,,
진밭골 안영감 본점,대구 수성구 지범로 300,(지번) 범물동 887,35.81481613,128.6491781,범물2동,,
가든파티골안골,대구 수성구 지범로 299,(지번) 범물동 1304-2,35.81518976,128.649138,범물1동,,
형동생제주도근고기전문점 본점,대구 수성구 지범로 251 1층,(지번) 범물동 1319-1,35.81734775,128.6452964,범물1동,,
하늘아래첫집산장,대구 수성구 진밭길 411-2,(지번) 범물동 1180-9,35.79862107,128.6725887,범물1동,,
대들보 돼지갈비대구탕,대구 수성구 지범로 276,(지번) 범물동 835,35.81576121,128.6467691,범물2동,,
진밭식당,대구 수성구 진밭길 411,(지번) 범물동 1114-1,35.79850964,128.6724952,범물1동,,
청우식육식당,대구 수성구 범안로 72 1층,(지번) 범물동 1321-2,35.81786669,128.6456931,범물1동,,
동양족발 범물점,대구 수성구 지범로48길 21 수성하늘채르레브아파트 상가 301동 107호,(지번) 범물동 747,35.81505576,128.6442516,범물2동,,
복동이숯불갈비 범물점,대구 수성구 지범로45길 11,(지번) 범물동 1321-6,35.81773266,128.6457157,범물1동,,
고향숯불막창,대구 수성구 지범로 256,(지번) 범물동 463-3,35.8169677,128.6448646,범물2동,,
큰부자소막창,대구 수성구 범안로 27,(지번) 범물동 1352-9,35.81767282,128.6396107,범물2동,,
순이생고기,대구 수성구 지범로46길 3,(지번) 범물동 455,35.81726589,128.6446669,범물2동,,
살아있소갈비살구이전문점,대구 수성구 지범로 255,(지번) 범물동 1319-3,35.81712335,128.6453636,범물1동,,
가문의족발보쌈,대구 수성구 지범로46길 16-4,(지번) 범물동 1378-6,35.81666674,128.6437437,범물2동,,
고택남 대구범물점,대구 수성구 범안로4길 47 1층,(지번) 범물동 1369-7,35.81513183,128.6406434,범물2동,,
성자네 숯불막창,대구 수성구 범안로3길 41,(지번) 범물동 1339-4,35.81876321,128.6382624,범물2동,,
골목찜닭,대구 수성구 범안로16길 59 1층,(지번) 범물동 1300-5,35.8160931,128.6478808,범물1동,,
워낭생고기,대구 수성구 범안로 86,(지번) 범물동 1292-3,35.81801395,128.6469751,범물1동,,
와와 생막창 뽈뽈,대구 수성구 범안로 1,(지번) 범물동 1354,35.81742583,128.6377532,범물2동,,
빨닭,대구 수성구 지범로 290 119동 101호,(지번) 범물동 670,35.81519666,128.6478925,범물2동,,
회먹을래고기먹을래,대구 수성구 용학로 316 지하1층,(지번) 범물동 1269,35.82240003,128.6424161,범물1동,,
용지막창,대구 수성구 범안로 86,(지번) 범물동 1292-3,35.81801395,128.6469751,범물1동,,
손수말이,대구 수성구 지범로 263,(지번) 범물동 1313-9,35.81649723,128.6457524,범물1동,,
이가네숯불갈비,대구 수성구 범안로16길 35,(지번) 범물동 1298-3,35.81654793,128.6469125,범물1동,,
고기채움,대구 수성구 지범로39길 21,(지번) 범물동 1277-10,35.8207239,128.6423108,범물1동,,
명동돼지한마리,대구 수성구 범어천로 48,(지번) 범어동 726-5,35.85113542,128.6238701,범어1동,,
감나무집,대구 수성구 동대구로80길 24,(지번) 범어동 48-1,35.86557723,128.6287387,범어2동,,
고기굽는남자 범어동점,대구 수성구 들안로 402 1층,(지번) 범어동 1233,35.86595896,128.6184922,범어3동,,
초원한우,대구 수성구 상록로 20,(지번) 범어동 39-10,35.86122052,128.6242184,범어3동,,
팔백집,대구 수성구 동대구로59길 14-23,(지번) 범어동 792-35,35.85797503,128.6237074,범어1동,,
서울식육식당,대구 수성구 범어천로 70,(지번) 범어동 774-10,35.8532573,128.6237264,범어1동,,
편대장영화식당 범어점,대구 수성구 동대구로 291,(지번) 범어동 589-1,35.85651675,128.6252174,범어1동,,
고미정,대구 수성구 달구벌대로 2469,(지번) 범어동 167-4,35.85921401,128.6328814,범어2동,,
미미네집 신천점,대구 수성구 들안로 397,(지번) 범어동 1315,35.865546,128.6179479,범어3동,,
빡빡이참숯화로구이 본점,대구 수성구 들안로 395 1층,(지번) 범어동 1311,35.86528443,128.6179193,범어3동,,
돗소리,대구 수성구 국채보상로162길 22-4,(지번) 범어동 1179,35.86657383,128.6185438,범어3동,,
육록담,대구 수성구 범어천로 53,(지번) 범어동 805-291,35.85175782,128.6233446,범어1동,,
봄결,대구 수성구 달구벌대로492길 42-1 아현빌딩 1층,(지번) 범어동 255-15,35.85699107,128.6347964,범어4동,,
도마,대구 수성구 상록로 18,(지번) 범어동 39-12,35.86106819,128.6241543,범어3동,,
거송갈비찜 범어점,대구 수성구 명덕로 485 1층,(지번) 범어동 776-7,35.85414437,128.6234538,범어1동,,
화로상회 대구범어점,대구 수성구 동대구로80길 14,(지번) 범어동 47,35.86562031,128.6281336,범어2동,,
한우오마카세 카이,대구 수성구 달구벌대로496길 21-9 라산빌딩 1층,(지번) 범어동 261-10,35.85677026,128.6349646,범어4동,,
수성55온족발 본점,대구 수성구 들안로 390,(지번) 범어동 1422,35.86492385,128.6183431,범어3동,,
이가네양꼬치양갈비,대구 수성구 달구벌대로496길 7,(지번) 범어동 199-6,35.85796298,128.6342111,범어4동,,
명성생고기,대구 수성구 들안로 406,(지번) 범어동 1213,35.86618825,128.618429,범어3동,,
고촌댁안동갈비,대구 수성구 범어천로 127,(지번) 범어동 804-72,35.85825315,128.622238,범어1동,,
동궁찜닭 범어점,대구 수성구 동대구로59길 14-8 2층,(지번) 범어동 792-4,35.85802085,128.6241178,범어1동,,
참숯삼인조,대구 수성구 들안로 410 1층,(지번) 범어동 1179,35.86666811,128.6184822,범어3동,,
신촌닭불백,대구 수성구 동대구로 237,(지번) 범어동 736,35.85157283,128.6244102,범어1동,,
산갈래닭갈비,대구 수성구 달구벌대로480길 39,(지번) 범어동 548-30,35.85857063,128.6229642,범어1동,,
더건강한한우프라자,대구 수성구 범어천로 131,(지번) 범어동 804-1,35.85850721,128.6221024,범어1동,,
다고리,대구 수성구 범어로 169 2층,(지번) 범어동 141-17,35.86442775,128.6349399,범어2동,,
수성생고기,대구 수성구 상록로 6,(지번) 범어동 41-10,35.85987731,128.624249,범어3동,,
수영양곱창 원조본점,대구 수성구 범어천로 133,(지번) 범어동 881-8,35.85869602,128.6222274,범어1동,,
북해양육점,대구 수성구 들안로 389-1,(지번) 범어동 1330,35.86494604,128.6179198,범어3동,,
막창도둑 범어점,대구 수성구 범어로 81 1층,(지번) 범어동 262-1,35.85678486,128.6356989,범어4동,,
조선양곱창 신천점,대구 수성구 들안로81길 3,(지번) 범어동 1264,35.86619718,128.6178935,범어3동,,
맛찬들왕소금구이 대구범어점,대구 수성구 범어천로 136,(지번) 범어동 560-11,35.85885575,128.6226845,범어1동,,
심형래의불꽃양대창 신천점,대구 수성구 들안로 415,(지번) 범어동 1100,35.86724002,128.6180713,범어3동,,
만재네 범어점,대구 수성구 상록로 10,(지번) 범어동 40-26,35.86019112,128.6241739,범어3동,,
춘산오가피삼계탕백숙,대구 수성구 달구벌대로495길 27 2층,(지번) 범어동 153-17,35.86027969,128.6339949,범어2동,,
원할머니보쌈족발 대구범어점,대구 수성구 동대구로 331 1층,(지번) 범어동 43-3,35.86012155,128.6256855,범어3동,,
범어생고기,대구 수성구 범어천로 135-7,(지번) 범어동 804-20,35.8588987,128.621726,범어1동,,
석경 범어점,대구 수성구 달구벌대로496길 33 1층,(지번) 범어동 278-7,35.85552267,128.6342002,범어4동,,
청솔생고기,대구 수성구 청솔로 80,(지번) 범어동 806-5,35.85366442,128.6211452,범어1동,,
원조부산양곱창,대구 수성구 동대구로59길 14-8 1층,(지번) 범어동 792-4,35.85802085,128.6241178,범어1동,,
송림생고기,대구 수성구 범어로19길 39 1층,(지번) 범어동 201-23,35.85779044,128.6335932,범어4동,,
서남왕족발 범어점,대구 수성구 달구벌대로496길 16 1층,(지번) 범어동 201-10,35.85758428,128.6338766,범어4동,,
고깃집수녹,대구 수성구 동대구로74안길 13,(지번) 범어동 47-13,35.86513527,128.6283701,범어2동,,
방천소갈비 KBS점,대구 수성구 달구벌대로496길 19,(지번) 범어동 249-12,35.8569865,128.6342181,범어4동,,
박판삼겹 본점,대구 수성구 들안로 405-1,(지번) 범어동 1153,35.86647765,128.6180246,범어3동,,
현방,대구 수성구 상록로 39,(지번) 범어동 479-9,35.86298653,128.6237884,범어3동,,
방천소갈비 직영점,대구 수성구 범어천로 41-1,(지번) 범어동 805-63,35.85071123,128.6232182,범어1동,,
달돈,대구 수성구 범어천로 135-3,(지번) 범어동 881-3,35.8587996,128.6219982,범어1동,,
대프리카막창,대구 수성구 달구벌대로492길 46 1층,(지번) 범어동 140-2,35.85704388,128.635107,범어4동,,
숙돈가,대구 수성구 범어천로 47,(지번) 범어동 805-406,35.85124216,128.6233069,범어1동,,
대구찜닭 본점,대구 수성구 달구벌대로489길 10,(지번) 범어동 165-13,35.85945797,128.6312078,범어2동,,
양반생고기&육회,대구 수성구 들안로 408-1,(지번) 범어동 1186,35.86648958,128.6184436,범어3동,,
박대호제주미스돈,대구 수성구 상록로 46,(지번) 범어동 26-8,35.86343458,128.6242143,범어3동,,
신천생고기,대구 수성구 들안로 408 1층,(지번) 범어동 1189,35.86639868,128.6184886,범어3동,,
구이사마 KBS점,대구 수성구 달구벌대로496길 8,(지번) 범어동 200-24,35.85797795,128.6339657,범어4동,,
돈애반해 범어KBS점,대구 수성구 달구벌대로492길 39,(지번) 범어동 203-22,35.85719794,128.634607,범어4동,,
영천생고기,대구 수성구 달구벌대로480길 25,(지번) 범어동 547-5,35.85844079,128.6237503,범어1동,,
소금쟁이 범어점,대구 수성구 상록로 59,(지번) 범어동 473-8,35.86486304,128.6238167,범어3동,,
기황후삼계탕,대구 수성구 동대구로 279,(지번) 범어동 594-3,35.85542123,128.6249713,범어1동,,
양수생고기,대구 수성구 청솔로 52 1층,(지번) 범어동 806-74,35.85116554,128.620906,범어1동,,
금돈,대구 수성구 범어천로 174-1,(지번) 범어동 2179,35.8622035,128.6226103,범어3동,,
온족발&보쌈 본점,대구 수성구 범어천로 65,(지번) 범어동 805-85,35.8527918,128.6232707,범어1동,,
복돈미가,대구 수성구 범어천로 42,(지번) 범어동 722-2,35.85054905,128.623657,범어1동,,
새마을식당 대구범어점,대구 수성구 들안로 411,(지번) 범어동 1146,35.86695156,128.617991,범어3동,,
무쇠고집,대구 수성구 들안로 401,(지번) 범어동 1260,35.86584914,128.6179821,범어3동,,
양군팩토리,대구 수성구 동대구로 275,(지번) 범어동 595-18,35.85503983,128.6250007,범어1동,,
인생극장 대구범어점,대구 수성구 동대구로59길 14-14 상가 101호,(지번) 범어동 547-34,35.85823664,128.6240664,범어1동,,
명성옥,대구 수성구 상록로 8-17,(지번) 범어동 40-10,35.8601847,128.6250613,범어3동,,
소울,대구 수성구 동대구로59길 14-5,(지번) 범어동 792-18,35.85767464,128.6238306,범어1동,,
박상민한우식육점 신천본점,대구 수성구 들안로 386-3,(지번) 범어동 1003-10,35.86457046,128.6186877,범어3동,,
박가네고령뒷고기,대구 수성구 들안로78길 16 1층,(지번) 범어동 1003-15,35.86493574,128.6190655,범어3동,,
그집생고기,대구 수성구 범어로19길 47,(지번) 범어동 201-7,35.8577924,128.6331975,범어4동,,
육구이왕소금구이,대구 수성구 들안로78길 20,(지번) 범어동 1003-13,35.86504411,128.6192089,범어3동,,
미주생고기,대구 수성구 청솔로14길 46,(지번) 범어동 805-55,35.85100545,128.6231587,범어1동,,
마왕족발 대구수성점,대구 수성구 달구벌대로492길 46 1층,(지번) 범어동 140-2,35.85704388,128.635107,범어4동,,
인생갈비,대구 수성구 들안로77길 30,(지번) 범어동 1266,35.86493672,128.6173603,범어3동,,
정희태백집,대구 수성구 달구벌대로492길 38,(지번) 범어동 255-12,35.85704614,128.634398,범어4동,,
원조안동갈비,대구 수성구 달구벌대로496길 18,(지번) 범어동 202-1,35.85743669,128.6339813,범어4동,,
장군안동찜닭 수성점,대구 수성구 범어로 171 1층,(지번) 범어동 136-32,35.8645855,128.6349025,범어2동,,
하양농장식육식당 본점,대구 수성구 국채보상로180길 15,(지번) 범어동 129-11,35.86579555,128.6298103,범어2동,,
강촌숯불닭갈비 범어그랜드점,대구 수성구 동대구로59길 3 1층,(지번) 범어동 587-10,35.85725884,128.6251508,범어1동,,
태영생막창,대구 수성구 달구벌대로492길 47,(지번) 범어동 204-15,35.85722694,128.6353096,범어4동,,
자인,대구 수성구 달구벌대로 2480-1 1층,(지번) 범어동 197-34,35.85821099,128.633793,범어4동,,
대하닭갈비 범어점,대구 수성구 동대구로 336 마크팰리스범어 3층 313호,(지번) 범어동 177-3,35.8603881,128.62737,범어2동,,
소나무,대구 수성구 범어로19길 36,(지번) 범어동 200-15,35.8579865,128.6338339,범어4동,,
쪼쪼찜닭쪼림닭 범어점,대구 수성구 청솔로 124-23,(지번) 범어동 800-41,35.85703402,128.6217288,범어1동,,
아침에잡은소 범어점,대구 수성구 범어로 199 1층,(지번) 범어동 134-30,35.86700414,128.6334199,범어2동,,
범어한우,대구 수성구 청솔로 124-25,(지번) 범어동 800-30,35.85701817,128.6218482,범어1동,,
하양농장한우촌 직영2호점,대구 수성구 달구벌대로492길 7,(지번) 범어동 200-14,35.8579642,128.6323121,범어4동,,
연탄집처녀돼지 본점,대구 수성구 들안로 400-1,(지번) 범어동 1234,35.86572147,128.6185215,범어3동,,
금복닭개장,대구 수성구 달구벌대로495길 24,(지번) 범어동 152-7,35.86005088,128.6343066,범어2동,,
예천참한우마을,대구 수성구 범어천로 54-1 1층,(지번) 범어동 730,35.85175412,128.6239457,범어1동,,
돈야,대구 수성구 범어로 112,(지번) 범어동 223-8,35.85940323,128.6360081,범어2동,,
박창우의 막구이돼지찌개,대구 수성구 상록로 10,(지번) 범어동 40-26,35.86019112,128.6241739,범어3동,,
이조명가,대구 수성구 범어천로 72,(지번) 범어동 774-9,35.85335364,128.623639,범어1동,,
아리울 오리돈,대구 수성구 범어로24길 7,(지번) 범어동 225-2,35.85977984,128.6360792,범어2동,,
서울맛족발,대구 수성구 달구벌대로492길 23,(지번) 범어동 202-24,35.85721117,128.6327791,범어4동,,
냠냠족족,대구 수성구 범어로 91-1,(지번) 범어동 204-10,35.85768144,128.6356432,범어4동,,
구공족발 범어점,대구 수성구 상록로 15 범어센트럴푸르지오 판매시설동 1층 107호,(지번) 범어동 2257,35.86111989,128.6230363,범어3동,,
범어숯불,대구 수성구 달구벌대로480길 29,(지번) 범어동 547-69,35.85851644,128.6234539,범어1동,,
홍대찜닭,대구 수성구 상록로 64 1층,(지번) 범어동 7-4,35.86514765,128.6242079,범어3동,,
돈뼈락 수성점,대구 수성구 상록로 50,(지번) 범어동 24-17,35.86388254,128.624161,범어3동,,
고향 옻닭삼계탕,대구 수성구 상록로 30,(지번) 범어동 27-17,35.86209449,128.6241415,범어3동,,
초미일관석쇠불고기,대구 수성구 달구벌대로492길 9,(지번) 범어동 201-1,35.85775986,128.6322761,범어4동,,
봉추찜닭 대구범어점,대구 수성구 범어로20길 39 1층,(지번) 범어동 207-7,35.8580173,128.6380039,범어4동,,
놀부보쌈 대구범어점,대구 수성구 상록로2길 72,(지번) 범어동 30-3,35.8627563,128.6254595,범어3동,,
고바우 신천점,대구 수성구 들안로 409-1 1층,(지번) 범어동 1147,35.86686227,128.6179965,범어3동,,
복개천생고기,대구 수성구 청솔로14길 43,(지번) 범어동 805-405,35.85126397,128.6231731,범어1동,,
초원 암소숯불갈비식당,대구 수성구 동대구로 341-3,(지번) 범어동 43-6,35.86098168,128.6255131,범어3동,,
소담생고기,대구 수성구 달구벌대로492길 5,(지번) 범어동 200-13,35.85809641,128.632311,범어4동,,
차군의숯불카페,대구 수성구 동대구로59길 14-5,(지번) 범어동 792-18,35.85767464,128.6238306,범어1동,,
철만난맛고기닭발 범어점,대구 수성구 달구벌대로480길 30,(지번) 범어동 560-4,35.85866999,128.6235077,범어1동,,
고집뭉티기,대구 수성구 동대구로59길 14-2,(지번) 범어동 790-2,35.85749073,128.6241493,범어1동,,
외식1번가 범어점,대구 수성구 동원로 29 1층,(지번) 범어동 250-4,35.86154859,128.6396882,범어2동,,
수성한우갈비집,대구 수성구 범어로19길 42,(지번) 범어동 200-3,35.85808569,128.6334118,범어4동,,
조은생고기,대구 수성구 달구벌대로480길 5,(지번) 범어동 562-1,35.85851813,128.6248547,범어1동,,
범어소고기상점,대구 수성구 상록로 10 1층,(지번) 범어동 40-26,35.86019112,128.6241739,범어3동,,
족발한상 대구신천시장점,대구 수성구 들안로 408,(지번) 범어동 1189,35.86639868,128.6184886,범어3동,,
산야초삼계탕,대구 수성구 상록로 21-30,(지번) 범어동 481-12,35.86155778,128.6229205,범어3동,,
일미리금계찜닭 범어만촌점,대구 수성구 세진로 21 1층,(지번) 범어동 402-1,35.86197897,128.6380235,범어2동,,
찜닭집,대구 수성구 청솔로14길 15,(지번) 범어동 2272,35.85160882,128.622254,범어1동,,
돈사남,대구 수성구 들안로77길 30 수성태왕아너스 301동 1층 102,103,104호,(지번) 범어동 1266,35.86493672,128.6173603,범어3동
부성한우,대구 수성구 달구벌대로496길 24,(지번) 범어동 249-6,35.85697184,128.6338651,범어4동,,
더생고기,대구 수성구 달구벌대로492길 39,(지번) 범어동 203-22,35.85719794,128.634607,범어4동,,
인생도리탕,대구 수성구 범어로18길 89,(지번) 범어동 220-14,35.85733594,128.6406191,범어4동,,
감성낙곱새 대구점,대구 수성구 세진로 27,(지번) 범어동 403-18,35.86216632,128.6384927,범어2동,,
제주를굽다,대구 수성구 들안로 411,(지번) 범어동 1147,35.86695156,128.617991,범어3동,,
강너머남촌 범어점,대구 수성구 동대구로59길 3,(지번) 범어동 587-10,35.85725884,128.6251508,범어1동,,
동일돼지갈비식당,대구 수성구 청호로 467,(지번) 범어동 63-79,35.85745928,128.6433436,범어4동,,
번갯불 본점,대구 수성구 국채보상로162길 22-4,(지번) 범어동 1179,35.86657383,128.6185438,범어3동,,
신동생고기,대구 수성구 들안로 389,(지번) 범어동 1404,35.8648459,128.6178811,범어3동,,
꿈을요리하다닭한끼,대구 수성구 세진로1길 1,(지번) 범어동 393-8,35.86217989,128.6364064,범어2동,,
곱깨비 범어점,대구 수성구 범어로 126,(지번) 범어동 225-13,35.86071187,128.635942,범어2동,,
명덕총각족발 범어점,대구 수성구 들안로78길 21,(지번) 범어동 1440,35.86523551,128.6191487,범어3동,,
대구막창,대구 수성구 들안로 405-1,(지번) 범어동 1153,35.86647765,128.6180246,범어3동,,
도리신,대구 수성구 범어로20길 93,(지번) 범어동 218-7,35.85801282,128.6408472,범어4동,,
영화대나무 삼계탕추어탕,대구 수성구 동대구로73길 10-13,(지번) 범어동 17-1,35.86383793,128.6258794,범어3동,,
안동찜닭,대구 수성구 국채보상로194길 17,(지번) 범어동 426-28,35.86605309,128.6369346,범어2동,,
의성막창,대구 수성구 범어로20길 78,(지번) 범어동 213-16,35.8578572,128.6400751,범어4동,,
녹원생고기,대구 수성구 범어로 187,(지번) 범어동 136,35.8658471,128.6341013,범어2동,,
미운오리,대구 수성구 들안로 389-1,(지번) 범어동 1330,35.86494604,128.6179198,범어3동,,
단디족발,대구 수성구 청호로 411-2 1층,(지번) 범어동 95-2,35.85412194,128.6381959,범어4동,,
고향솥단지삼겹살,대구 수성구 청호로 435-6,(지번) 범어동 75-4,35.85604344,128.6401437,범어4동,,
제주흑돼지뒷고기 범어점,대구 수성구 들안로78길 19,(지번) 범어동 1439,35.8651732,128.6190645,범어3동,,
산약초삼계탕,대구 수성구 동대구로38안길 34,(지번) 범어동 688-2,35.84893444,128.6262309,범어1동,,
신나불찜닭&불닭발,대구 수성구 범어로 81 1층,(지번) 범어동 262-1,35.85678486,128.6356989,범어4동,,
못된닭발,대구 수성구 범어천로 135-7,(지번) 범어동 804-20,35.8588987,128.621726,범어1동,,
한우촌생갈비,대구 수성구 달구벌대로492길 12,(지번) 범어동 238-46,35.85754059,128.630619,범어1동,,
닭의한수,대구 수성구 동대구로38길 76,(지번) 범어동 671-15,35.84960211,128.6270619,범어1동,,
쏘굿한우 본점,대구 수성구 범어천로 170 1층,(지번) 범어동 2200,35.86190603,128.6228041,범어3동,,
대경로 양곱창,대구 수성구 달구벌대로492길 12,(지번) 범어동 238-46,35.85754059,128.630619,범어1동,,
착한안동갈비,대구 수성구 청호로85안길 17,(지번) 범어동 74-1,35.85611165,128.6395699,범어4동,,
백자,대구 수성구 동대구로80길 10-13,(지번) 범어동 47-15,35.8651247,128.6279128,범어2동,,
아씨애보쌈 엔히로아키 범어점,대구 수성구 달구벌대로496길 40-2 1층,(지번) 범어동 292-12,35.85489101,128.6338062,범어4동,,
햇맛숯불생고기촌 본점,대구 수성구 달구벌대로492길 15,(지번) 범어동 202-13,35.85739385,128.6322277,범어4동,,
나은생고기,대구 수성구 범어로 143,(지번) 범어동 147-21,35.86208493,128.6354718,범어2동,,
