식당명,주소1,주소2,위도,경도,행정동,
커피1994 범어점,대구 수성구 달구벌대로489길 23,(지번) 범어동 161-5,35.85989267,128.6316067,범어2동,
달곰마카롱,대구 수성구 범어로20길 39 1층,(지번) 범어동 207-7,35.8580173,128.6380039,범어4동,
일프로커피,대구 수성구 범어로19길 46 1층,(지번) 범어동 200-4,35.8580067,128.6332496,범어4동,
샌드선샤인,대구 수성구 범어로18길 93 1층,(지번) 범어동 220-11,35.85726479,128.6407876,범어4동,
스피티코 대구,대구 수성구 범어로 153 1층,(지번) 범어동 146-12,35.86300698,128.6354522,범어2동,
빠티랩,대구 수성구 동대구로74길 25,(지번) 범어동 51-11,35.8639361,128.628714,범어2동,
읍천리,대구 수성구 달구벌대로501길 11,(지번) 범어동 227-1,35.86015805,128.6374483,범어2동,
이디야커피 대구범어점,대구 수성구 국채보상로 856,(지번) 범어동 1-1,35.86689134,128.6241956,범어3동,
공차 범어로데오점,대구 수성구 달구벌대로 2513 1층,(지번) 범어동 223-1,35.85923006,128.6375865,범어2동,
류커피로스터스 범어점,대구 수성구 상록로11길 94,(지번) 범어동 2191,35.86191083,128.6230286,범어3동,
이명재커피,대구 수성구 범어로 170 1층,(지번) 범어동 431-3,35.86458136,128.63528,범어2동,
이디야커피 대구범어두레점,대구 수성구 달구벌대로496길 72,(지번) 범어동 305-3,35.85247297,128.6345422,범어4동,
로스트로비,대구 수성구 상록로2길 22,(지번) 범어동 40-4,35.8604237,128.625233,범어3동,
해머스미스커피 대구수성점,대구 수성구 동대구로 389 1층,(지번) 범어동 2-8,35.86524486,128.6262807,범어3동,
컴포즈커피 대구범어로데오점,대구 수성구 범어로18길 47 1층,(지번) 범어동 215-1,35.85746407,128.6383421,범어4동,
빽다방 대구범어KBS점,대구 수성구 범어로 73 범어에스케이뷰아파트2단지 205동 1층 104호,(지번) 범어동 2235,35.85565422,128.6345522,범어4동,
핸즈커피 범어점,대구 수성구 국채보상로 906,(지번) 범어동 128-1,35.86637264,128.6297836,범어2동,
